CME Copper Exchange Date,CME Copper Close,CME Copper Net,CME Copper %Chg,CME Copper Open,CME Copper Low,CME Copper High,CME Copper Volume,CME Copper OI,CME Copper Bid,CME Copper Ask
03/01/12,3.53,0.09,2.72%,3.46,3.46,3.53,251,1384,3.52,
04/01/12,3.43,-0.1,-2.71%,3.47,3.42,3.48,145,1319,3.43,
05/01/12,3.42,-0.01,-0.20%,3.41,3.4,3.42,175,1232,3.41,
06/01/12,3.43,0.01,0.25%,3.43,3.39,3.44,114,729,3.42,
09/01/12,3.41,-0.02,-0.54%,3.4,3.4,3.42,107,636,3.42,
10/01/12,3.51,0.1,2.86%,3.41,3.41,3.51,124,559,3.49,
11/01/12,3.54,0.03,0.90%,3.5,3.49,3.55,139,508,3.54,
12/01/12,3.64,0.1,2.89%,3.62,3.53,3.65,106,503,3.64,
13/01/12,3.63,-0.01,-0.33%,3.6,3.58,3.65,379,591,3.64,
17/01/12,3.73,0.09,2.59%,3.63,3.63,3.75,140,573,3.72,
18/01/12,3.75,0.02,0.56%,3.74,3.74,3.75,144,483,3.75,
19/01/12,3.8,0.05,1.35%,3.78,3.78,3.81,208,459,3.81,
20/01/12,3.74,-0.06,-1.49%,3.77,3.73,3.77,219,530,3.74,
23/01/12,3.79,0.05,1.43%,3.73,3.73,3.79,83,355,3.81,
24/01/12,3.8,0.01,0.25%,3.81,3.75,3.81,185,385,3.82,
25/01/12,3.83,0.02,0.55%,3.76,3.76,3.84,212,389,3.84,
26/01/12,3.9,0.07,1.88%,3.89,3.88,3.9,150,383,3.88,
27/01/12,3.88,-0.01,-0.35%,3.87,3.87,3.88,392,305,,
30/01/12,3.82,-0.06,-1.58%,3.83,3.8,3.84,612,1133,3.82,
31/01/12,3.79,-0.03,-0.90%,3.87,3.78,3.87,810,823,3.79,
01/02/12,3.84,0.05,1.35%,3.78,3.78,3.83,177,739,3.82,
02/02/12,3.78,-0.06,-1.60%,3.81,3.77,3.83,218,599,3.78,
03/02/12,3.9,0.12,3.18%,3.8,3.79,3.89,226,552,3.9,
06/02/12,3.86,-0.04,-0.98%,3.88,3.83,3.88,253,460,3.87,
