SHFE Copper - Exchange Date, SHFE Copper Close,SHFE Copper Net,SHFE Copper %Chg,SHFE Copper Open,SHFE Copper Low,SHFE Copper High,SHFE Copper Volume,SHFE Copper OI,SHFE Copper Bid,SHFE Copper Ask
04/01/12,56580,1120,2.00%,56460,56100,56990,2784,8830,56100,56190
05/01/12,56110,-470,-1.00%,55730,55730,56300,2800,7735,56100,56200
06/01/12,55940,-170,0.00%,56000,55720,56130,2930,6225,56020,56100
09/01/12,55440,-500,-1.00%,55660,55050,55760,2750,5650,55460,55490
10/01/12,55480,40,0.00%,55700,55100,55900,1950,5140,55640,55880
11/01/12,55990,510,1.00%,56100,55200,56450,2275,4155,56360,56450
12/01/12,56450,460,1.00%,56200,56180,56650,2385,3820,56650,56800
13/01/12,57080,630,1.00%,56450,56450,57380,1405,3785,57300,57420
16/01/12,57460,380,1.00%,57040,56960,57920,8898,22241,57890,57920
17/01/12,58920,1460,3.00%,58010,57900,59400,9738,19714,59310,59400
18/01/12,59090,170,0.00%,59100,58510,59400,4801,18796,58800,58850
19/01/12,59760,670,1.00%,59060,59060,60000,4857,18117,59920,60000
20/01/12,60290,530,1.00%,60180,60040,60540,4108,17156,60350,60400
30/01/12,60300,10,0.00%,60240,59640,61080,4526,16986,59630,59650
31/01/12,59750,-550,-1.00%,60020,59580,60100,8429,17570,59890,60000
01/02/12,59160,-590,-1.00%,59500,58820,59500,2580,16260,58800,58890
02/02/12,59170,10,0.00%,59240,58950,59450,2465,15395,59100,59260
03/02/12,59130,-40,0.00%,59140,58710,59340,1710,14390,59110,59200
06/02/12,59920,790,1.00%,60040,59700,60100,3460,13580,59800,59820
07/02/12,59520,-400,-1.00%,59900,59250,60000,3020,12365,59350,59400
08/02/12,60100,580,1.00%,59680,59620,60650,2340,11795,60610,60700
09/02/12,60530,430,1.00%,60350,60240,61000,2420,11005,60270,60400
10/02/12,60710,180,0.00%,60850,60500,60930,1815,10260,60550,60640
13/02/12,59780,-930,-2.00%,59610,59610,60020,2905,8710,59750,60100
14/02/12,59310,-470,-1.00%,59500,59120,59500,2965,7635,59200,59260
15/02/12,59550,240,0.00%,59980,58670,59980,1790,7390,59500,59600
16/02/12,58950,-600,-1.00%,59790,58600,59790,10916,26007,59000,59050
17/02/12,59590,640,1.00%,59450,59380,59800,4545,25099,59400,59480
20/02/12,59330,-260,0.00%,59640,59010,60040,5679,24038,59080,59100
21/02/12,59400,70,0.00%,58990,58990,59650,4695,24245,59590,59600
22/02/12,59940,540,1.00%,60070,59800,60320,3770,23669,59900,59920
23/02/12,59690,-250,0.00%,59850,59500,59880,4170,22494,59830,59850
24/02/12,59560,-130,0.00%,59860,59290,60020,4600,21205,59300,59330
27/02/12,59870,310,1.00%,59760,59700,60050,5664,19350,59860,59900
28/02/12,60160,290,0.00%,60020,59870,60460,4908,19113,60430,60460
29/02/12,60320,160,0.00%,60460,60120,60500,3787,18149,60300,60340
01/03/12,59880,-440,-1.00%,59970,59670,60100,2684,17130,59750,59780
02/03/12,60540,660,1.00%,60340,60210,60690,3440,16355,60600,60660
05/03/12,60500,-40,0.00%,60580,60270,60710,3380,15050,60350,60440
06/03/12,59810,-690,-1.00%,60110,59660,60110,3435,13910,59660,59700
07/03/12,58760,-1050,-2.00%,58560,58510,58920,4965,12060,58830,58900
08/03/12,58970,210,0.00%,59100,58870,59100,2580,11155,58850,58920
09/03/12,59420,450,1.00%,59100,59100,59700,3225,9820,59620,59800
12/03/12,59720,300,1.00%,59850,59620,59990,3105,8435,59740,59800
13/03/12,59970,250,0.00%,59810,59740,60100,2865,6955,60050,60200
14/03/12,60020,50,0.00%,60300,59600,60400,2545,6115,59600,59660
15/03/12,59430,-590,-1.00%,58750,58750,59890,1795,5710,59760,59880
16/03/12,60340,910,2.00%,60470,60170,60500,4614,30894,60220,60280
19/03/12,59880,-460,-1.00%,60110,59720,60130,4103,29867,59870,59910
20/03/12,59970,90,0.00%,60200,59730,60280,4343,29254,59900,59980
21/03/12,59810,-160,0.00%,59580,59560,60000,4045,28332,59900,59910
22/03/12,59480,-330,-1.00%,59840,59270,59890,5634,26633,59350,59360
23/03/12,59340,-140,0.00%,59290,59200,59600,3540,25857,59570,59800
26/03/12,59730,390,1.00%,59600,59590,59880,3475,24777,59690,59700
27/03/12,60150,420,1.00%,60380,60010,60380,5837,23413,60010,60150
28/03/12,59790,-360,-1.00%,59850,59560,59900,3235,22269,59550,59560
29/03/12,59200,-590,-1.00%,59400,59100,59440,4775,20686,59200,59250
30/03/12,59470,270,0.00%,59410,59380,59580,3323,18995,59520,59550
05/04/12,59110,-360,-1.00%,59550,58700,59550,2860,17720,59420,59470
06/04/12,59440,330,1.00%,59400,59330,59700,2655,16610,59660,59730
09/04/12,59500,60,0.00%,59430,59320,59620,3830,14695,59330,59390
10/04/12,59130,-370,-1.00%,59200,58900,59330,5060,11950,59020,59080
11/04/12,57860,-1270,-2.00%,58100,57680,58140,5415,9635,57710,57720
12/04/12,57790,-70,0.00%,57900,57650,57900,3580,6820,57890,57920
13/04/12,57880,90,0.00%,58320,57580,58320,2215,6185,57700,57750
16/04/12,56610,-1270,-2.00%,56500,56500,56730,2080,6370,56510,56660
17/04/12,56790,180,0.00%,57010,56490,57010,6746,21308,56490,56680
18/04/12,57370,580,1.00%,57130,56890,57800,6342,20120,57610,57750
19/04/12,57470,100,0.00%,57240,57230,57620,3751,19304,57600,57620
20/04/12,57720,250,0.00%,57610,57440,57910,3762,17975,57650,57730
23/04/12,57640,-80,0.00%,57980,57320,58010,5624,16590,57300,57420
24/04/12,57540,-100,0.00%,57450,57270,57790,4452,15327,57530,57650
25/04/12,57600,60,0.00%,57580,57500,57700,3817,14262,57600,57650
26/04/12,57890,290,1.00%,57710,57680,58190,5011,12756,58140,58180
27/04/12,58360,470,1.00%,58270,58250,58460,4446,11515,58300,58440
02/05/12,58580,220,0.00%,58670,58460,58720,3510,10065,58560,58660
03/05/12,58270,-310,-1.00%,58380,58090,58390,2560,9105,58120,58170
04/05/12,58180,-90,0.00%,58040,58030,58300,2195,8780,58290,61330
07/05/12,57660,-520,-1.00%,57760,57580,57760,3115,8250,57700,57750
08/05/12,57940,280,0.00%,57990,57770,58000,2730,7245,57750,57840
09/05/12,57530,-410,-1.00%,57770,57280,57940,2970,6965,57550,57610
10/05/12,57720,190,0.00%,57710,57600,58000,2120,5990,57900,57950
11/05/12,57720,0,0.00%,57800,57600,57800,1535,5615,57600,57660
14/05/12,57110,-610,-1.00%,57670,56810,57730,1835,5070,56810,56900
15/05/12,56060,-1050,-2.00%,56150,55880,56300,1660,4655,56250,56450
16/05/12,55660,-400,-1.00%,55920,55130,56090,7339,18872,55160,55350
17/05/12,55840,180,0.00%,55800,55470,56150,7056,16706,56100,56140
18/05/12,55730,-110,0.00%,55710,55500,55980,7103,16748,55750,55860
21/05/12,56410,680,1.00%,56000,56000,56540,5926,16351,56400,56430
22/05/12,56480,70,0.00%,56600,56360,56600,3185,16661,56360,56390
23/05/12,55680,-800,-1.00%,55860,55460,55860,5391,16266,55710,55720
24/05/12,55530,-150,0.00%,55720,55320,55770,5248,15489,55710,55770
25/05/12,55750,220,0.00%,55720,55540,56100,5265,14395,55930,56080
28/05/12,56540,790,1.00%,56360,56180,56800,4399,13507,56740,56800
29/05/12,56500,-40,0.00%,56410,56350,56700,2412,12730,56480,56620
30/05/12,55960,-540,-1.00%,56100,55810,56150,3142,12447,55940,56150
31/05/12,55180,-780,-1.00%,55020,55020,55270,4512,11615,55110,57200
01/06/12,55170,-10,0.00%,55230,55000,55330,3200,11235,55100,55120
04/06/12,53850,-1320,-2.00%,53890,53430,54310,6690,8615,53430,53580
05/06/12,54260,410,1.00%,54030,54030,54400,3505,8345,54100,54240
06/06/12,54450,190,0.00%,54360,54090,54610,1715,8660,54450,54510
07/06/12,54730,280,1.00%,54780,54420,54900,2115,8450,54400,54450
08/06/12,54110,-620,-1.00%,54250,53960,54260,2870,8455,53960,54090
11/06/12,55170,1060,2.00%,54900,54900,55740,2855,7475,55060,55100
12/06/12,54540,-630,-1.00%,55100,54440,55100,2535,6750,54510,54540
13/06/12,54760,220,0.00%,54700,54630,54840,2625,4780,54720,54840
14/06/12,54850,90,0.00%,54660,54560,55050,2315,3035,54930,55040
15/06/12,55440,590,1.00%,55200,55200,55720,2135,1960,55630,55750
18/06/12,55620,180,0.00%,55900,55430,55950,6946,23096,55630,55660
19/06/12,55570,-50,0.00%,55440,55300,55690,4223,23073,55320,55450
20/06/12,55710,140,0.00%,55470,55470,55860,4644,23198,55520,55730
21/06/12,55020,-690,-1.00%,55030,54830,55130,5652,21272,54830,54880
25/06/12,54880,-140,0.00%,54490,54490,55040,4072,20954,54750,54800
26/06/12,54720,-160,0.00%,54990,54310,55100,4524,19625,54400,54460
27/06/12,54370,-350,-1.00%,54520,54200,54530,5077,18568,54430,54480
28/06/12,54780,410,1.00%,54980,54680,55100,4101,18369,54780,54810
29/06/12,55250,470,1.00%,54710,54660,55800,8226,15166,55280,55800
02/07/12,55830,580,1.00%,56200,55660,56290,3436,13660,55700,55770
03/07/12,56160,330,1.00%,55490,55490,56400,4715,11980,56260,56350
04/07/12,56290,130,0.00%,56170,56100,56470,2815,11115,56200,56290
05/07/12,56210,-80,0.00%,56220,56050,56350,3295,9995,56290,56360
06/07/12,56050,-160,0.00%,56300,55910,56300,2360,9005,56010,56140
09/07/12,55550,-500,-1.00%,55550,55440,55690,3055,7950,55500,55590
10/07/12,55600,50,0.00%,55550,55360,55800,2695,7180,55360,55410
11/07/12,55450,-150,0.00%,55400,55220,55570,2590,6405,55460,55640
12/07/12,55440,-10,0.00%,55540,55350,55580,1980,5595,55450,55500
13/07/12,55720,280,1.00%,55540,55540,55940,2185,4335,55910,56000
16/07/12,56100,380,1.00%,56200,56000,56250,2230,2550,56090,56150
17/07/12,56070,-30,0.00%,56440,55850,56510,5342,22802,55950,56020
18/07/12,55790,-280,0.00%,56040,55610,56100,4518,21847,55750,55810
