Timestamp,LME 3 month Cu in � per metric tonne  - Trade Close
03/01/12,7790
04/01/12,7540
05/01/12,7540
06/01/12,7580
09/01/12,7496
10/01/12,7740
11/01/12,7780
12/01/12,8005
13/01/12,8000
16/01/12,8089
17/01/12,8200
18/01/12,8239
19/01/12,8365
20/01/12,8220
23/01/12,8365
24/01/12,8355
25/01/12,8384
26/01/12,8590
27/01/12,8525
30/01/12,8429
31/01/12,8320
01/02/12,8440
02/02/12,8345
03/02/12,8565
06/02/12,8500
07/02/12,8481
08/02/12,8580
09/02/12,8760
10/02/12,8481
13/02/12,8425
14/02/12,8415
15/02/12,8370
16/02/12,8300
17/02/12,8175
20/02/12,8236
21/02/12,8449
22/02/12,8435
23/02/12,8390
24/02/12,8531
27/02/12,8536
28/02/12,8600
29/02/12,8499
01/03/12,8629
02/03/12,8580
05/03/12,8505
06/03/12,8290
07/03/12,8295
08/03/12,8330
09/03/12,8500
12/03/12,8445
13/03/12,8558
14/03/12,8465
15/03/12,8565
16/03/12,8510
19/03/12,8570
20/03/12,8430
21/03/12,8455
22/03/12,8290
23/03/12,8380
26/03/12,8535
27/03/12,8535
28/03/12,8349
29/03/12,8350
30/03/12,8445
02/04/12,8641
03/04/12,8615
04/04/12,8350
05/04/12,8361
10/04/12,8030
11/04/12,8040
12/04/12,8220
13/04/12,7990
16/04/12,7985
17/04/12,8050
18/04/12,8050
19/04/12,8050
20/04/12,8193
23/04/12,8045
24/04/12,8150
25/04/12,8205
26/04/12,8320
27/04/12,8415
30/04/12,8400
01/05/12,8440
02/05/12,8305
03/05/12,8229
04/05/12,8175
07/05/12,
08/05/12,8095
09/05/12,8054
10/05/12,8105
11/05/12,8013
14/05/12,7840
15/05/12,7765
16/05/12,7650
17/05/12,7649
18/05/12,7650
21/05/12,7731
22/05/12,7739
23/05/12,7531
24/05/12,7610
25/05/12,7639
28/05/12,7685
29/05/12,7670
30/05/12,7478
31/05/12,7425
01/06/12,7361
04/06/12,
05/06/12,
06/06/12,7410
07/06/12,7495
08/06/12,7295
11/06/12,7420
12/06/12,7395
13/06/12,7390
14/06/12,7420
15/06/12,7511
18/06/12,7510
19/06/12,7609
20/06/12,7545
21/06/12,7341
22/06/12,7310
25/06/12,7336
26/06/12,7359
27/06/12,7405
28/06/12,7385
29/06/12,7685
02/07/12,7625
03/07/12,7819
04/07/12,7725
05/07/12,7695
06/07/12,7531
09/07/12,7560
10/07/12,7490
11/07/12,7540
12/07/12,7555
13/07/12,7700
16/07/12,7691
17/07/12,7595
18/07/12,7637
