NYSE / NASDAQ Mining Company Date,RIO - Adj Close,RIO - Volume,SQM - Adj Close,SQM - Volume,FCX - Adj Close,FCX - Volume,BHP - Adj Close,BHP - Volume,NEM - Adj Close,NEM - Volume,SCCO - Adj Close,SCCO - Volume,HBM - Adj Close,HBM - Volume,ERO - Adj Close,ERO - Volume,VALE - Adj Close,VALE - Volume
03/01/12,22.928352,4434000,30.74168,596687,30.422928,18651200,38.936913,5262535,46.23188,7418700,19.749689,2518500,9.754543,16000,,,11.466351,20775200
04/01/12,22.910826,3244200,30.972992,424767,30.67709,13634100,38.952541,2933769,46.090378,4248400,19.662292,1872800,9.603894,48900,,,11.560254,12636400
05/01/12,22.682987,2549700,31.249451,1080301,30.2689,13023200,38.218178,2111067,46.246773,5545100,19.56867,1953600,9.547402,31700,,,11.24394,10007600
06/01/12,22.450771,2914300,31.147905,558175,29.937704,9554700,37.73381,2157813,46.149963,4218400,19.450075,1568500,9.396754,6300,,,11.051188,14574000
09/01/12,22.507729,2206900,30.74168,750532,30.068642,8245500,37.869217,2551732,45.785057,3825700,19.256571,2431100,9.415584,22600,,,11.12038,8678200
10/01/12,23.213156,3040200,31.125324,468312,31.270149,15895700,38.916084,3932356,46.656368,6354100,19.974405,2639500,9.622725,17900,,,11.293364,13471300
11/01/12,23.467285,2748000,31.040695,268561,32.277611,17221000,39.145245,3721832,47.170227,5040400,20.224087,2793700,9.650973,46300,,,11.456462,13933300
12/01/12,23.984291,3414900,31.209949,336137,32.897594,17618100,39.785866,5109966,47.691521,5897100,20.854515,3061900,9.726296,11700,,,11.51083,23754600
13/01/12,23.791512,3742900,31.063271,298754,32.548862,14081900,39.035873,4933409,47.207458,4206900,20.735922,2058500,9.669804,17500,,,11.174748,34780900
17/01/12,24.558275,4344900,31.260723,373109,33.378078,20403000,39.733772,4593073,45.382908,9163100,21.3414,4445400,9.933439,57100,,,11.777717,22448300
18/01/12,25.233019,3572200,31.853111,485463,34.463039,25674300,40.791046,3840546,44.943531,8127400,22.165342,4886700,10.244156,27700,,,12.094034,24800800
19/01/12,25.18482,2697500,32.360859,326278,34.385548,30009000,40.890015,4797320,44.384998,9386200,22.296425,3432300,10.6961,26700,,,12.123687,17253800
20/01/12,25.123482,2850800,32.428555,229534,33.401333,20546600,40.702515,2951929,44.139244,8319500,21.934389,2562000,10.441882,36700,,,11.965528,17096600
23/01/12,25.548489,3239300,32.592163,294133,34.005806,19142400,41.056683,2817634,44.131779,6801200,22.446238,3146700,10.733765,26000,,,12.039666,20731300
24/01/12,25.425806,2877200,32.535751,247712,34.075554,14899900,40.686893,2583008,42.806198,8289400,22.052982,3699900,11.157467,23900,,,12.118743,24173000
25/01/12,25.942823,4353400,32.800903,300500,35.710751,23757700,41.73896,4815031,44.869049,12330400,22.527369,3768500,11.176298,23300,,,12.375749,19152500
26/01/12,26.556232,4254100,32.733215,537737,36.036228,30462300,41.884792,3976523,45.017998,7635300,22.471203,4473500,11.091559,58900,,,12.178052,24397500
27/01/12,26.284578,2330100,33.16198,329667,35.7495,15510200,41.744171,2938029,45.807396,5832100,22.546114,2689200,11.25162,31300,,,12.217591,12584900
30/01/12,26.236383,4632800,32.665512,234978,35.72625,14736400,41.374371,2448825,45.591419,5747600,21.697189,5252900,10.940907,27300,,,12.242306,18053900
31/01/12,26.490517,5792600,33.139404,370644,35.811497,18633800,41.374371,3888413,45.785057,6601600,21.653502,3818600,10.987984,15300,,,12.50425,30961600
01/02/12,27.029434,4866100,33.765652,545440,35.772736,17131100,41.900414,4143440,45.516956,6307100,21.709681,3220400,11.298699,17500,,,12.879872,28581800
02/02/12,27.436913,3068100,34.132359,423329,35.269001,17256300,42.134789,3906012,46.388264,6110700,21.472481,2304300,11.477596,31100,,,12.99849,20484000
03/02/12,27.471966,5012400,33.87849,570909,36.020741,16979100,42.78582,3779788,45.43504,7863800,21.990566,3278700,11.581169,26400,,,13.151704,16905100
06/02/12,27.327374,1985000,33.455353,295776,36.214478,12693800,42.582699,2660694,45.345669,4550200,21.965603,2327600,11.581169,26100,,,13.112164,11023000
07/02/12,26.87608,3265000,33.16761,426924,35.455025,15473200,42.587894,3063581,45.323326,4805400,21.803303,2185600,11.430519,11800,,,13.102281,12800300
08/02/12,26.959333,2181000,33.460999,388514,36.05949,16542700,42.046249,3243389,45.204193,3452700,21.828283,2194300,11.270453,11600,,,13.057799,12208800
09/02/12,26.617573,3557700,33.855915,307689,35.974228,14819700,41.468121,3604800,45.1595,3848700,21.740892,2604600,11.439932,30900,,,12.949067,12121700
10/02/12,25.995405,2893000,33.460999,257777,34.827271,16386800,40.155647,3829336,44.399887,4467900,21.029299,3228500,11.12922,24000,,,12.726657,18430900
13/02/12,26.573759,2078100,33.455353,372082,34.610283,12298700,40.843136,1973745,44.243496,3307700,20.808344,2308000,11.25162,26700,,,12.968834,12330400
14/02/12,25.684317,2932600,32.846043,450956,33.292828,28728500,39.99419,2852945,43.766876,5591900,20.205753,3753200,11.016233,10100,,,12.731604,18154600
15/02/12,25.241783,2575400,32.953239,429697,32.858841,25396700,39.619202,3803777,44.384998,5421500,20.212027,2670500,11.232791,10000,,,12.484481,18643100
16/02/12,25.460855,2816600,33.16198,418400,33.974819,23704500,40.051479,3270405,45.003113,4517100,20.544718,2462500,11.157467,53200,,,12.519076,21777600
17/02/12,25.162914,2142500,33.669739,166066,33.354832,17327200,39.640034,2886911,44.273281,4004500,20.193193,2261300,11.195129,12200,,,12.33621,20893500
21/02/12,25.561636,1850800,33.5569,234361,34.075554,18395100,40.567101,3270966,45.829742,6941600,20.500778,1955900,11.487009,83500,,,12.44494,14324900
22/02/12,25.224253,2990800,33.675388,355342,34.191795,13348600,40.49939,2778847,46.753185,7221800,20.87112,3007400,11.599998,38200,,,12.405401,9736300
23/02/12,25.443333,2097900,33.607674,253258,33.928299,13372500,40.442097,3004728,47.51281,7670100,20.921341,2341800,11.534089,12500,,,12.622868,15194000
24/02/12,25.539721,2171100,33.647167,165861,34.029045,13327300,40.51503,2602402,46.552101,7321400,20.833458,2033300,11.656491,30600,,,12.697004,10715000
27/02/12,25.679934,2172100,33.703583,219264,33.564079,14341600,40.640022,3187564,45.814838,5767200,20.557268,2651400,11.487009,12200,,,12.598156,11306600
28/02/12,26.043594,2759100,33.720505,207043,33.83532,14070800,41.046261,3121200,46.172302,4832300,20.689083,2155000,11.449349,9600,,,12.800792,14129900
29/02/12,25.331661,4251600,33.387646,273387,32.982841,20212500,40.57616,4306434,44.258377,10832100,20.18692,2861800,11.336366,22300,,,12.425169,25351500
01/03/12,25.482952,2933400,33.641525,377217,33.254082,15082400,40.824413,2116896,44.437107,6618900,20.312464,1244600,11.383442,54000,,,12.667351,10809100
02/03/12,25.104725,2166700,33.246601,321965,32.57209,18133000,40.148323,1787435,43.908371,4505500,19.998613,2416100,11.138635,14500,,,12.692061,11037900
05/03/12,24.13026,4332000,32.72757,392211,31.347645,29393200,39.260952,3138352,43.11898,6068000,19.647097,2166900,10.705518,50900,,,12.227478,17639400
06/03/12,23.427221,4959700,31.757198,504052,30.564928,26602700,38.0144,3895475,42.575329,8367900,19.295586,3173400,10.262986,105400,,,11.545427,37915700
07/03/12,23.605211,2491300,31.836191,360990,30.216196,22605800,38.516186,2767749,42.210419,6565600,19.35836,2253600,10.498374,19500,,,11.387268,30362200
